19.0,4.0,0.0,76.0,41.0,83.0,8.0,13.0,2.0,11.0,0.0,3.0,51.0,9.0,1.0,6.0
4.0,11.0,18.0,40.0,8.0,41.0,44.0,41.0,12.0,115.0,1.0,6.0,34.0,141.0,23.0,9.0
1.0,1.0,8.0,37.0,16.0,9.0,8.0,7.0,2.0,1.0,5.0,3.0,13.0,45.0,27.0,19.0
0.0,12.0,83.0,159.0,77.0,54.0,74.0,3.0,0.0,1.0,10.0,45.0,2.0,11.0,7.0,20.0
1.0,38.0,216.0,37.0,95.0,94.0,34.0,0.0,9.0,21.0,156.0,87.0,105.0,8.0,0.0,7.0
10.0,61.0,33.0,109.0,5.0,184.0,13.0,70.0,25.0,22.0,35.0,1.0,0.0,0.0,2.0,7.0
5.0,47.0,21.0,69.0,38.0,28.0,41.0,22.0,83.0,212.0,26.0,3.0,5.0,137.0,21.0,0.0
55.0,46.0,25.0,3.0,4.0,108.0,25.0,12.0,149.0,252.0,61.0,59.0,139.0,354.0,195.0,29.0
52.0,77.0,14.0,1.0,2.0,106.0,72.0,44.0,155.0,153.0,31.0,3.0,31.0,274.0,131.0,25.0
73.0,2.0,22.0,12.0,88.0,22.0,15.0,33.0,48.0,11.0,6.0,1.0,8.0,114.0,46.0,165.0
17.0,8.0,1.0,0.0,40.0,67.0,41.0,32.0,39.0,6.0,8.0,69.0,0.0,8.0,9.0,14.0
4.0,12.0,9.0,15.0,44.0,57.0,41.0,41.0,71.0,14.0,17.0,73.0,61.0,0.0,8.0,0.0
7.0,5.0,90.0,20.0,23.0,22.0,66.0,21.0,5.0,59.0,215.0,189.0,77.0,0.0,0.0,0.0
3.0,7.0,38.0,15.0,51.0,32.0,136.0,50.0,21.0,11.0,42.0,18.0,43.0,9.0,12.0,2.0
0.0,0.0,2.0,16.0,4.0,15.0,70.0,63.0,93.0,28.0,61.0,28.0,67.0,7.0,229.0,0.0
3.0,2.0,43.0,11.0,22.0,4.0,74.0,26.0,52.0,128.0,14.0,28.0,80.0,100.0,154.0,5.0
